,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,year,top_team,most_win,umpires,umpire_values,bat_first_winner,bat_second_winner,losser,toss2win
11,12,2017,Bangalore,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,Anil Chaudhary,,2019.0,Mumbai Indians,11.0,RE Koertzen,41,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,1
12,13,2017,Rajkot,2017-04-14,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,,,,VA Kulkarni,39,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,1
13,14,2017,Kolkata,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,Anil Dandekar,NJ Llong,,,,,Aleem Dar,38,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,0
14,15,2017,Delhi,2017-04-15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,,,,,RJ Tucker,38,Rising Pune Supergiants,Rising Pune Supergiants,Kings XI Punjab,1
15,16,2017,Mumbai,2017-04-16,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,,,,,NJ Llong,37,Sunrisers Hyderabad,Kolkata Knight Riders,Gujarat Lions,1
16,17,2017,Bangalore,2017-04-16,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiants,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,,,,,BF Bowden,37,Kings XI Punjab,Gujarat Lions,Royal Challengers Bangalore,0
17,18,2017,Delhi,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,,,,,SK Tarapore,31,Rising Pune Supergiants,Kolkata Knight Riders,Delhi Daredevils,0
18,19,2017,Hyderabad,2017-04-17,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Anil Dandekar,A Deshmukh,,,,,S Asnani,30,Mumbai Indians,Mumbai Indians,Kings XI Punjab,0
19,20,2017,Rajkot,2017-04-18,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,,,,,RB Tiffin,30,Kings XI Punjab,Kings XI Punjab,Gujarat Lions,0
20,21,2017,Hyderabad,2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,,,,,DJ Harper,27,Kings XI Punjab,Mumbai Indians,Delhi Daredevils,1
21,22,2017,Indore,2017-04-20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,,,,,AM Saheba,26,Delhi Daredevils,Rising Pune Supergiants,Kings XI Punjab,1
22,23,2017,Kolkata,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,,,,,Anil Dandekar,25,Mumbai Indians,Delhi Daredevils,Kolkata Knight Riders,1
23,24,2017,Mumbai,2017-04-22,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,,,,,A Nand Kishore,25,Royal Challengers Bangalore,Rising Pune Supergiants,Delhi Daredevils,0
24,25,2017,Pune,2017-04-22,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,Anil Dandekar,A Deshmukh,,,,,CB Gaffaney,24,Rising Pune Supergiants,Delhi Daredevils,Sunrisers Hyderabad,1
25,26,2017,Rajkot,2017-04-23,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,26,0,HM Amla,Saurashtra Cricket Association Stadium,Anil Chaudhary,M Erasmus,,,,,K Hariharan,21,Mumbai Indians,Kolkata Knight Riders,Gujarat Lions,0
26,27,2017,Kolkata,2017-04-23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,,,,RK Illingworth,19,Kolkata Knight Riders,Gujarat Lions,Royal Challengers Bangalore,0
27,28,2017,Mumbai,2017-04-24,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiants,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,,,,,BG Jerling,17,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,0
28,29,2017,Pune,2017-04-26,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,Anil Dandekar,NJ Llong,,,,,SS Hazare,17,Chennai Super Kings,Delhi Daredevils,Rising Pune Supergiants,1
29,30,2017,Bangalore,2017-04-27,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,M Chinnaswamy Stadium,Anil Chaudhary,C Shamshuddin,,,,,JD Cloete,17,Kings XI Punjab,Sunrisers Hyderabad,Royal Challengers Bangalore,1
30,31,2017,Kolkata,2017-04-28,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,,,,,S Das,15,Chennai Super Kings,Rising Pune Supergiants,Delhi Daredevils,1
